rank,name,school,division,flight,wins,losses,TGRS,TGRS_scaled,ts_rating,ts_mu,local_ts_mu,ts_sigma,reachability,local_reachability,sos,local_sos,quality_wins,won_after_set1_loss,vs_weaker_opp,vs_mid_opp,vs_top_opp,last_match_date,reason_below
113,Jakoby Schwab,Gibraltar Carlson,overall,3,7,5,129.46,30.1,15.4,33.1,33.1,5.9,19,19,25.78,25.78,1,2/6 (33%),4-0 (100%),1-1 (50%),0-3 (0%),2026-09-17,Lower TrueSkill rating
114,Sam Grezlik,Dearborn Divine Child,overall,3,5,1,104.49,26.7,12.3,32.77,32.77,6.82,16,16,18.79,18.79,1,0/1 (0%),4-0 (100%),1-0 (100%),0-1 (0%),2026-09-21,Worse score margin vs common opponents
115,Reave Smith,Midland,overall,3,10,4,155.72,33.6,13.76,32.19,32.19,6.14,35,35,27.72,27.72,2,1/5 (20%),6-0 (100%),1-2 (33%),1-2 (33%),2026-09-22,Lower TrueSkill rating
116,Dhan Patel,Grand Blanc,overall,3,3,4,82.94,23.9,6.1,26.27,26.27,6.72,20,20,24.76,24.76,0,0/1 (0%),3-2 (60%),0-1 (0%),0-1 (0%),2026-09-22,Lower TrueSkill rating
117,Ethan Stacer,Almont,overall,3,9,1,137.11,31.1,11.75,30.28,30.28,6.17,34,34,17.53,17.53,1,0/1 (0%),4-0 (100%),1-1 (50%),,2026-09-22,Worse score margin vs common opponents
118,Drew Schriber,Imlay City,overall,3,11,2,136.73,31.1,12.3,30.83,30.83,6.18,33,33,18.32,18.32,0,0/2 (0%),11-0 (100%),0-2 (0%),,2026-09-22,Lost head-to-head vs player above
119,Oscar Brautnick,Milford,overall,3,3,1,78.91,23.3,10.8,30.29,30.29,6.5,7,7,21.64,21.64,0,1/2 (50%),2-0 (100%),,0-1 (0%),2026-09-21,Lower TrueSkill rating
120,Nick Hammel,Lake Fenton,overall,3,7,4,122.33,29.1,6.86,23.04,23.04,5.39,37,37,24.97,24.97,1,0/3 (0%),3-0 (100%),2-2 (50%),0-2 (0%),2026-09-21,Lower TrueSkill rating
121,Keagan Spielman,Owosso,overall,3,6,4,120.84,28.9,13.61,29.68,29.68,5.36,21,21,21.44,21.44,0,1/5 (20%),5-3 (62%),,0-1 (0%),2026-09-18,Lost head-to-head vs player above
122,Sam Lundberg,Niles,overall,3,7,11,121.96,29.1,3.85,20.2,20.2,5.45,46,46,21.31,21.31,0,0/9 (0%),5-4 (56%),0-4 (0%),0-2 (0%),2026-09-21,Lower TrueSkill rating
123,Brayden Foley,Comstock Park,overall,3,7,6,130.87,30.3,5.87,22.63,22.63,5.59,45,45,22.95,22.95,0,3/9 (33%),4-2 (67%),0-2 (0%),0-2 (0%),2026-09-22,Worse score margin vs common opponents
124,Asher Akinpeloye,Flint Powers Catholic,overall,3,4,6,85.0,24.1,0.81,22.43,22.43,7.21,32,32,30.85,30.85,1,0/6 (0%),2-1 (67%),0-2 (0%),1-3 (25%),2026-09-21,Lower TrueSkill rating
125,Logan Wurfel,Charlotte,overall,3,3,7,121.78,29.1,6.25,22.21,22.21,5.32,40,40,21.06,21.06,0,0/5 (0%),3-2 (60%),0-5 (0%),,2026-09-14,Lower TrueSkill rating
126,Maddox carpenter,Niles Brandywine,overall,3,4,7,116.97,28.4,3.94,20.44,20.44,5.5,43,43,22.45,22.45,0,2/9 (22%),4-2 (67%),0-3 (0%),0-1 (0%),2026-09-22,Worse score margin vs common opponents
127,Eliseo Brown,Lansing Christian School,overall,3,4,5,102.27,26.4,2.44,17.87,17.87,5.15,39,39,24.09,24.09,0,0/4 (0%),2-2 (50%),1-2 (33%),0-1 (0%),2026-09-14,Lost head-to-head vs player above
